Current Test,Time,X,Y,Z,X2,Y2,Z2
,14040,1574.0358,428.55713,361.2989,,,
,14056,1554.5742,425.32556,350.88696,,,
,14074,1537.0459,427.26733,344.11035,,,
,14090,1518.2012,431.75476,338.00214,,,
,14105,1500.6127,437.9981,333.68704,,,
,14124,1479.3706,449.1648,331.55774,,,
,14139,1462.4989,464.33868,330.16992,,,
,14158,1447.1477,490.66046,336.1661,,,
,14173,1436.5532,524.9654,341.01294,,,
,14189,1442.9735,546.1269,341.12238,,,
,14207,1455.3766,566.2519,338.71625,,,
,14224,1466.806,583.3683,343.21512,,,
,14239,1466.806,583.3683,343.21512,,,
,14256,1479.831,600.8084,350.54285,,,
,14273,1515.2671,620.27155,359.1709,,,
,14289,1528.7264,628.7528,363.0507,,,
,14307,1545.8809,642.2167,368.14563,,,
,14324,1569.5337,653.05457,370.35757,,,
,14339,1598.2552,661.9358,372.74152,,,
,14357,1623.2328,664.475,371.04376,,,
,14372,1639.9802,665.6813,370.42505,,,
,14391,1659.1093,659.26953,371.50995,,,
,14407,1680.7225,649.6284,366.44412,,,
,14422,1714.0774,574.75305,395.68826,,,
,14439,1710.266,589.20776,377.5774,,,
,14457,1704.2968,588.5304,367.95944,,,
,14474,1697.9749,575.56946,351.09933,,,
,14491,1697.9749,575.56946,351.09933,,,
,14506,1688.9775,554.00287,334.88275,,,
,14523,1670.8823,530.85284,321.97147,,,
,14539,1652.8455,513.464,312.26184,,,
,14556,1630.6514,495.27527,303.87442,,,
,14574,1604.4713,480.2016,297.8308,,,
,14589,1581.0741,469.6435,294.49774,,,
,14607,1555.9742,464.03552,295.30908,,,
,14622,1533.6178,461.14996,295.76193,,,
,14640,1513.3192,462.12347,301.81628,,,
,14656,1495.5913,465.47028,303.81558,,,
,14674,1476.0822,472.56427,308.88544,,,
,14691,1458.3846,486.29834,319.94382,,,
,14709,1446.2458,499.8828,330.3471,,,
,14724,1437.3785,516.6162,341.75577,,,
,14741,1437.3785,516.6162,341.75577,,,
,14756,1429.9683,530.02515,351.25406,,,
,14773,1425.4735,543.6662,360.62653,,,
,14790,1421.9625,552.8229,366.89935,,,
,14807,1421.8661,563.1683,373.1623,,,
,14823,1425.1082,574.3014,379.46194,,,
,14841,1429.9208,582.2553,383.40863,,,
,14856,1473.1471,608.0864,387.75073,,,
,14874,1489.35,617.769,389.37833,,,
,14890,1498.6768,622.6362,392.82983,,,
,14907,1554.4406,627.0309,396.77835,,,
,14924,1604.2632,623.69055,400.90945,,,
,14940,1632.0638,615.82355,399.2592,,,
,14958,1640.4468,613.45135,398.76154,,,
,14974,1656.4867,594.8169,395.32904,,,
,14991,1665.8995,568.06696,393.98752,,,
,15008,1665.8995,568.06696,393.98752,,,
,15023,1669.2003,540.0233,391.3885,,,
,15040,1659.4362,519.6373,384.58914,,,
,15058,1642.9291,499.93817,381.27286,,,
,15073,1619.6394,481.54657,380.60934,,,
,15091,1586.7482,455.46008,369.1577,,,
,15108,1554.746,434.62213,359.08582,,,
,15124,1517.233,412.7882,347.38412,,,
,15140,1471.8903,398.75098,335.91412,,,
,15159,1420.246,385.99524,326.46924,,,
,15173,1360.9451,376.63977,328.12396,,,
,15192,1307.1514,367.79816,321.52173,,,
,15208,1281.1392,379.5169,320.08585,,,
,15226,1281.1392,379.5169,320.08585,,,
,15241,1232.4537,374.63574,307.47012,,,
,15257,1175.7288,369.25024,306.06927,,,
,15275,1115.0469,363.46875,302.71844,,,
,15291,1063.7904,367.5335,303.43115,,,
,15309,1016.84515,518.3533,297.44528,,,
,15324,1003.3445,561.72644,295.72382,,,
,15341,1000.23083,571.7296,295.32684,,,
,15359,887.75006,430.24402,235.90726,,,
,15374,825.78815,396.1407,224.91248,,,
,15391,827.59973,405.1255,229.16809,,,
,15408,745.50684,409.5152,232.59502,,,
,15423,686.2705,412.4845,232.76299,,,
,15442,650.6019,417.44952,236.86276,,,
,15457,650.6019,417.44952,236.86276,,,
,15475,613.8585,422.41913,234.53531,,,
,15493,579.5214,427.91113,233.88394,,,
,15507,544.22894,436.9936,230.37909,,,
,15524,513.6014,447.34088,227.02773,,,
,15540,488.75943,456.3943,223.37653,,,
,15559,463.2854,466.58807,227.90276,,,
,15573,440.89487,478.32465,233.0857,,,
,15590,420.2281,491.66656,237.40785,,,
,15609,402.74338,501.0381,239.35362,,,
,15624,388.75412,508.63177,241.53043,,,
,15642,375.1274,514.69495,242.70026,,,
,15659,361.6814,521.17004,243.62338,,,
,15675,361.6814,521.17004,243.62338,,,
,15691,350.01468,525.70557,245.51375,,,
,15709,335.19073,531.46075,246.00897,,,
,15724,324.251,534.7218,247.31418,,,
,15743,311.06125,537.7225,248.90549,,,
,15757,292.0292,539.3157,249.31532,,,
,15775,276.21716,539.573,249.40923,,,
,15790,261.63867,538.0647,249.83826,,,
,15809,250.10548,534.99506,250.88043,,,
,15824,234.24858,523.0364,247.9984,,,
,15840,220.91353,505.127,247.63074,,,
,15859,212.36089,494.4422,248.67633,,,
,15874,209.89914,475.63812,250.67435,,,
,15891,196.14207,498.24426,236.27113,,,
,15908,196.14207,498.24426,236.27113,,,
,15923,201.7841,422.8203,197.79242,,,
,15943,206.96547,387.0467,192.91309,,,
,15958,208.36542,366.1729,202.41165,,,
,15974,215.62544,350.6142,216.17342,,,
,15992,228.98163,331.18658,227.90854,,,
,16006,243.5069,317.9948,259.9757,,,
,16024,263.7165,304.9325,272.33664,,,
,16040,280.76523,296.22614,278.29913,,,
,16057,300.40353,289.13116,281.75684,,,
,16073,341.417,410.7829,286.5189,,,
,16091,341.417,410.7829,286.5189,,,
,16108,352.55865,308.88794,230.48698,,,
,16126,385.03107,265.24567,216.64548,,,
,16140,412.0959,255.70636,218.25922,,,
,16157,432.67795,253.34912,221.38753,,,
,16176,457.21857,253.74084,226.54944,,,
,16190,489.18088,259.51862,241.91238,,,
,16208,513.11304,267.25,257.79272,,,
,16223,525.94324,266.73663,271.53198,,,
,16243,623.7887,222.534,355.0046,,,
,16258,607.1409,254.06555,330.33347,,,
,16275,600.5565,278.41437,331.6182,,,
,16305,675.15894,330.5705,323.8213,,,
,16321,670.6714,353.53632,296.3163,,,
,16337,672.0799,366.01776,280.6546,,,
,16355,659.96985,366.2392,285.14575,,,
,16370,648.2462,372.2989,291.80728,,,
,16386,637.36774,384.71832,294.2003,,,
,16403,623.6614,405.9344,290.93262,,,
,16419,610.4037,430.0044,285.2766,,,
,16437,587.85095,457.43347,282.9617,,,
,16454,569.47064,475.29285,282.87036,,,
,16470,551.2414,494.48822,280.10883,,,
,16486,524.6376,514.27246,279.78516,,,
,16503,495.02005,534.33105,279.07733,,,
,16521,470.93518,546.7526,279.60785,,,
